Dish Name,Description,Cuisine,Meal Type,Diet,Tags,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Allergens
Nori Omelet,"A simple yet delicious egg omelet filled with nori (seaweed) and other fresh ingredients like spinach, mushrooms, avocado, and scallions.",Japanese,Breakfast,Non-Veg,"Japanese, Breakfast, Non-Veg, Vegetarian, Japanese cuisine, healthy, nutritious, easy to prepare",150,8,,20,None
Hakurei Tofu Egg White Hashbrowns,"A healthy breakfast that combines the flavors of egg, tofu, and hashbrown for a satisfying meal. It's low in calories while still providing essential nutrients like protein and fat. The disch features common allergens such as dairy, gluten, nuts, shellfish.",Japanese,Breakfast,Non-Veg,"Japanese, Breakfast, Non-Veg, vegan, high fiber, low carb, egg white, dairy-free, non-dairy, nut-free, soy-free, gluten-free, low calorie, low fat, low sodium, healthy",310,12.5,17.8,15.5,"dairy, gluten, nut, shellfish"
"Shimeji Mochi"" (Japanese Chestnut Balls)","A vegan lunch option with a filling, nutritious, and delicious ingredient.",Japanese,Lunch,Veg,"Japanese, Lunch, Veg, Vegan, Gluten-free, Nut-free, Dairy-free",178,3,6,24,None
Vegetarian Lentil Stir-Fry (Umi Miso),"A delicious and nutritious vegetarian stir-fry made with lentils, vegetables, soy sauce, miso paste, and sesame oil.",Japanese,Lunch,Veg,"Japanese, Lunch, Veg, Vegan, Gluten-free, Nut-free, Dairy-free",275,8,,,None
Miso Soup with White Tofu and Vegetables,"This vegan miso soup uses tofu (soaked overnight and drained) as the base, mixed with sliced mushrooms, carrots, green beans, and white miso paste. The soup is served with steamed rice and sesame seeds on the side.",Japanese,Lunch,Veg,"Japanese, Lunch, Veg",140,7,,42,None
Bento Soup,"A healthy, plant-based lunch that includes a soup as the main dish.",Japanese,Lunch,Veg,"Japanese, Lunch, Veg, vegan, gluten free, dairy-free, low calorie, high protein, filling",350,15,6,15,None
Vegan Luncheon Quinoa Bowl,"A healthy and flavorful vegan lunch option that includes cooked quinoa, roasted sweet potato, avocado, scrambled tofu, and a vegan dipping sauce made from soy sauce, tamari, maple syrup, and fresh herbs.",Japanese,Lunch,Veg,"Japanese, Lunch, Veg, gluten-free, dairy-free, nut-free, vegan, keto-friendly",290,16,18,33,None
Katsu Curry,A Japanese-style curry made with a katsu (a deep-fried pork cutlet) and topped with rice and vegetables.,Japanese,Lunch,Veg,"Japanese, Lunch, Veg, Vegetarian, Gluten-free",280,15,16,35,None
Veggie and Potato Curry with Tofu,"A heartwarming curry dish made with aromatic spices, flavorful vegetables, silky potatoes, and tender tofu.",Japanese,Lunch,Veg,"Japanese, Lunch, Veg, Vegetarian, Gluten-free, Nut-free, Protein-rich, Dietary Restriction-friendly (vegan)",165,,9.5,20.5,None
Curried Veggie Curry Soup with Sweet Potato Noodles,"A hearty and comforting soup made with a combination of veggies and curry spices, served over sweet potato noodles. Suitable for vegetarians and vegans.",Japanese,Lunch,Veg,"Japanese, Lunch, Veg, Vegan, Gluten-Free, Dairy-Free, Nut-Free, Soy-Free, Egg-Free, Protein-Rich",297,16,15,30,None
"Tsukemen Kokumi (pronounced as ""Chun-MEEN-KOOM"")","A popular Japanese noodle dish made with slices of hot, steaming ramen noodles topped with grated dairy or a variety of vegetables.",Japanese,Lunch,Non-Veg,"Japanese, Lunch, Non-Veg, Vegetarian, Gluten-Free, Nut-Free, Egg-Free, Dairy-Free",50,3.5,13.5,24.5,None
Miso Soup Bowl with Avocado and Poached Eggs,"A delicious vegetarian-friendly lunch option that is made with a miso soup base, served with avocado and poached eggs on top.",Japanese,Lunch,Non-Veg,"Japanese, Lunch, Non-Veg, Japanese cuisine, vegetarian, vegan",150,6,9,11,None
Sapporo Pumpkin Spinach Luncheon,"A healthy and nutritious lunch option, perfect for those looking to switch up their routine. This dish is loaded with protein from the pumpkin leaves, vitamins from the spinach, fiber from the leafy greens, and healthy fats from the avocado. Calories: 280 kcal (kCal)",Japanese,Lunch,Non-Veg,"Japanese, Lunch, Non-Veg",280,15,13,14,None
Japanese Cuisine Cream Cheese Rice Paper Rolls,"A savory and creamy lunch roll that’s perfect for a quick and easy Asian-inspired meal. Made with cream cheese rice paper, chicken, veggies, soy sauce, ginger, scallions, sesame oil, garlic, and sesame seeds to add extra flavor and texture. Kcal: 480",Japanese,Lunch,Non-Veg,"Japanese, Lunch, Non-Veg",,11.5,36.7,20.4,None listed in ingredient list. Can be made vegan by omitting the cream cheese and butter sauce or soy sauce. Enjoy!
Wagyu Kobe Short Rib Luncheon,"This Japanese-style lunch meal combines Wagyu beef short ribs and pan-seared duck breast with a side of Japanese green beans, tofu scramble, and a bowl of yuzu dipping sauce. The total calories are 450 (including kcal), while the protein is provided by Wagyu beef short ribs, and fat from pan-seared duck breast.",Japanese,Lunch,Non-Veg,"Japanese, Lunch, Non-Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free, Soy-free, Egg-free",1150,29.68,37.28,75.72,None
Japanese Kitchen: Creamy Vegetable Pumpkin Lentil Soup,"A healthy and delicious vegetarian lunch dish, perfect for a busy weekday!",Japanese,Lunch,Non-Veg,"Japanese, Lunch, Non-Veg, vegan, gluten-free, low-carb, heart-healthy",280,9.5,,27.5,None
Chirashi Dino - Vegetable Sushi Roll,"A Japanese-style vegan sushi roll with a variety of fresh vegetables, seaweed, and avocado. Calories (kcal): 105",Japanese,Lunch,Non-Veg,"Japanese, Lunch, Non-Veg",,8,7,25,None
Soupy Veggie Stew,"A flavorful vegan soup made with a variety of veggies, including zucchini, bell peppers, carrots, and spinach. Perfect for those who want to enjoy the benefits of plant-based eating while enjoying hearty and savory veggies.",Japanese,Dinner,Veg,"Japanese, Dinner, Veg, Vegan, Soups, Winter Vegetables, Whole Foods",348,21.9,16.7,65.7,None
Miso Katsu,"A creamy miso soup with fried tofu and shredded cabbage. This dish is perfect for a relaxing evening at home, accompanied by some Japanese wine.",Japanese,Dinner,Veg,"Japanese, Dinner, Veg, Vegan, Gluten-Free, Low Carb, Plant-Based",207,14,20,9,None
Veggie Tacos,"A simple yet flavorful vegetarian main course featuring pork tenderloins skewered with fresh peaches, crispy shallots, and a creamy miso glaze, all wrapped up in a honey soy basting sauce.",Japanese,Dinner,Veg,"Japanese, Dinner, Veg, Vegetarian, Gluten-free, Dairy-free, Nut-free, Egg-free, Shellfish-free",250,16,8.5,31,None
Vegetable Ginger Miso Soup,"A hearty and savory soup made with vegetables, miso paste, and ginger. Suitable for vegans and gluten-free diets.",Japanese,Dinner,Veg,"Japanese, Dinner, Veg, Vegan, Gluten-Free, Protein-Rich, Carbohydrate-Rich, Common Allegrens (dairy, eggs, nuts, shellfish) optional",287,15,7,13,None
Coconut Curry Sweet Potato and Eggplant Pasta,"A creamy, comforting and delicious vegan dish with a coconut curry sauce that pairs perfectly with sweet potatoes and eggplants. 3. Tags: Vegan, Gluten-free, Dairy-free, Nut-free, Sodium-free, MSG-free",Japanese,Dinner,Veg,"Japanese, Dinner, Veg",385,21,,35,None detected in this dish
Vegetable Curry in Tomato Sauce with Tofu and Rice,A vegan dinner option featuring a hearty tomato-based curry that includes tender tofu and brown rice.,Japanese,Dinner,Veg,"Japanese, Dinner, Veg, Vegan, Curry, Tofu, Rice, Gluten-free",250,16,7,38,None
Vegetable Katsu Curry,A hearty and flavorful Japanese dish that's perfect for a light and satisfying veg dinner. It comes with:,Japanese,Dinner,Veg,"Japanese, Dinner, Veg",265,14.5,7.8,,None
Spinach Mushroom Stir-Fry,"A delicious stir-fry dish made with spinach, mushrooms, garlic, ginger, and white sauce. It's packed full of nutritious ingredients and has a satisfying bite that is perfect for those seeking a healthier version of spaghetti or pizza.",Japanese,Dinner,Non-Veg,"Japanese, Dinner, Non-Veg, vegan, gluten-free, low-carb, high-protein, low-fat, dairy-free",306,15.9,25.4,28.7,None
Tokyo Katsudu,"A hearty vegetable stew that is rich in protein, fat, carbohydrates, and common allergens (dairy, gluten, nuts, and shellfish).",Japanese,Dinner,Non-Veg,"Japanese, Dinner, Non-Veg, Japanese cuisine, vegan, plant-based, dairy-free, gluten-free, nut-free, soy-free.",306,18,9,27,None
Japanese Cuisine - Vegetable Stew with Soba Noodles and Avocado,"This veganizable Japanese cuisine dish is perfect for a light dinner or lunch. It features soba noodles cooked in a savory broth, paired with fresh vegetables, including shiitake mushrooms, carrots, and green onions, served with creamy avocado topping. A total of 170 calories (35g protein, 85g fat), 24g carbohydrates, 6g fiber, 9g sugar, and 1g saturated fat. It contains dairy, gluten, nuts, and shellfish allergens.",Japanese,Dinner,Non-Veg,"Japanese, Dinner, Non-Veg, Vegan, Gluten-free, Dairy-free, Nut-free, Shellfish-free, Soy-free",35,24,9,6,None
Vegetable Udon Soup - Japanese Fusion,"A classic Japanese dish made with udon noodles, vegetables, soy sauce, and broth (including miso paste). It's a filling breakfast that also doubles as a delicious main course or side dish.",Japanese,Dinner,Non-Veg,"Japanese, Dinner, Non-Veg, Japanese cuisine, fusion, brioche, mochi, dessert, Italian cuisine, vegetarian, egg, feta cheese, Japanese cuisine, breakfast, egg, miso paste, soy sauce, miso-tamagoyaki, Chinese cuisine, bok choy, pork belly, egg, dairy products, Japanese cuisine, vegetable udon soup, egg, dairy products",200,9,16,35,None
Vegetable Curry Noodle,"A Japanese cuisine dish made with noodles and curry sauce. It is an excellent option for vegetarians as it features plenty of veggies like kale, spinach, carrots, and mushrooms along with soy sauce and curry powder.",Japanese,Dinner,Non-Veg,"Japanese, Dinner, Non-Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free, Common Allegrens (if any)",206,12.8,14.9,33.3,None
Baekgang Boi Kkot (BBQ Roasted Bean Sprouts & Scallions),"A delicious breakfast dish made with roasted bean sprouts, scallions, and sliced avocado for extra protein and fiber. It's perfect for people on a low-carb diet or those looking to reduce their intake of processed foods.",Korean,Breakfast,Veg,"Korean, Breakfast, Veg",150,8,,,None
Vegetable Cucumber Kimchi Fried Rice Bowl,"A savory veggie-packed fried rice bowl with a spicy and tangy kimchi filling, making for a satisfying vegan breakfast option.",Korean,Breakfast,Veg,"Korean, Breakfast, Veg, Gluten-free, dairy-free, vegan, vegetarian, protein-rich, low calorie (120 kcal), common allergen-free (includes dairy, gluten, nut, and shellfish)",65,8,,15,None
Veggie Korean Cuisine Bowl,"A simple and filling vegan breakfast option that combines quinoa, kimchi, scrambled tofu, kale, cucumber, sushi rice, avocado, and a drizzle of tamari sauce.",Korean,Breakfast,Veg,"Korean, Breakfast, Veg, Vegetarian, Gluten-free, Dairy-free, Nut-free, Soy-free, Egg-free",370,9,20.8,45.6,None
Veggie Breakfast Cuizine,"A flavorful mushroom omelette with mixed veggies and cheese. It's a great source of protein, fat, carbohydrates, and common allergens (dairy, eggs, nuts, shellfish).",Korean,Breakfast,Veg,"Korean, Breakfast, Veg, Vegan, Gluten-free, Nut-free, Dairy-free, Egg-free",126,4.5,9.8,3.7,No allergens listed
Sweet Potato and Egg Fried Rice (Sukguk Yeongyul Pajeon),"A delicious and nutritious vegan breakfast dish featuring sweet potatoes, boiled eggs, and topped with a pan-fried rice ball. This dish is high in protein, fiber, vitamins, and minerals.",Korean,Breakfast,Veg,"Korean, Breakfast, Veg, Vegan, Korean Cuisine, Fruit, Vegetarian, Gluten Free",476,18,,30,None
Miso Soup with Poached Egg and Vegetables,"A hearty miso soup with poached egg, roasted vegetables, and fresh herbs. This dish is gluten-free and dairy-free, made with non-GMO ingredients.",Korean,Breakfast,Non-Veg,"Korean, Breakfast, Non-Veg, dairy-free, gluten-free, non-veg, vegan, protein, eggs, nut-free, soy-free, avocado",235,9,10.5,6.5,None
Sujeong's Korean Cuisine: Kimchi Fried Rice,"A classic Korean breakfast dish consisting of kimchi, fried rice, and eggs.",Korean,Breakfast,Non-Veg,"Korean, Breakfast, Non-Veg, Korean cuisine, breakfast, egg, fried rice, kimchi, vegan",280,11,9.5,47.5,None
Gwajeol (Spicy Grilled Tofu Skewers),"A spicy and savory skewered tofu dish with garlic-lime sauce. It's a great source of protein, fiber, and healthy fats from the olive oil and coconut cream. Calories: 182 kcals",Korean,Breakfast,Non-Veg,"Korean, Breakfast, Non-Veg",,15.87,7.39,6.04,None
Sauce Garden Korean Cuisine Cuisine: Vegetable Curry Pansit,"A delicious and nutritious breakfast dish made with eggs, vegetables, soy sauce, garlic, ginger, sesame oil, and spices. It's perfect for vegan or vegetarian diets.",Korean,Breakfast,Non-Veg,"Korean, Breakfast, Non-Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free, Soy-free, Egg-free",350,6.9,18.2,24.7,None observed
Vegetable Frittata,"A breakfast dish made with fried egg, chopped vegetables, and cheese. Calories: 150",Korean,Breakfast,Non-Veg,"Korean, Breakfast, Non-Veg",,4,6.5,7,None identified
Kumbuk Tteokbokki,"A Korean dish made with rice noodles, tofu or tempeh, and stir-fried with a spicy broth made of egg whites, tofu soy sauce, sesame oil, scallions, and garlic. The tofu or tempeh are usually roasted in the oven beforehand to add an extra layer of flavor.",Korean,Breakfast,Non-Veg,"Korean, Breakfast, Non-Veg, Korean cuisine, non-veg, breakfast, easy to prepare",480,27,23.5,63,None
Korean-Style Frittata,"A creamy and flavorful frittata made with sliced mushrooms, scallions, garlic, shiitake mushrooms, chicken broth, eggs, and cheese. Suitable for vegetarians and vegans.",Korean,Breakfast,Non-Veg,"Korean, Breakfast, Non-Veg",270,16,,23,None
Cheongdam-guk Egg Fried Rice,"A Korean dish made with a savory fried rice base topped with boiled eggs, veggies like mushrooms and spinach, miso soup, and sesame oil.",Korean,Breakfast,Non-Veg,"Korean, Breakfast, Non-Veg, Vegetarian, Vegan, Whole Grains, Gluten-Free",150,6,9,32,None
Vegetable Korean Cuisine Bowl,A colorful plate of veggies served with a savory sauce,Korean,Lunch,Veg,"Korean, Lunch, Veg, Gluten-free, low carb, dairy-free, nut-free, egg-free, soy-free, shellfish-free",350,8,15,,None
KOREAN CUISINE KOREAN-STYLE VEGETABLE PANCAKES,A delicious vegan lunchbox that's perfect for a quick and healthy breakfast or lunch!,Korean,Lunch,Veg,"Korean, Lunch, Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free, Soy-free, Egg-free, Low-carb, Paleo",308,12.8,26.9,45.7,None
Korean Cuisine Fried Chicken Lunchbox,"A savory and flavorful vegan lunchbox option featuring Korean-style fried chicken. It's packed with protein, fat-free and high in fiber from the veggies and gluten-free bread.",Korean,Lunch,Veg,"Korean, Lunch, Veg, Korean cuisine, fried chicken, vegan, gluten-free",401,23,21,9,"Dairy, Gluten, Nuts, Soy, Eggs, Shellfish"
Vegan Beet Salad with Korean Chili-Tofu Dressing,"A hearty and satisfying vegan lunch option with a refreshing tangy dressing. The ingredients are packed with nutrients from beets, tofu, and other veggies for optimal nutrition. Calories - 180 kcal; Protein - 4.5 grams (tofu); Fat - 16 g (soybean oil); Carbohydrates - 39 g (beets, sweet potatoes, and tofu); Common Allegrens - Nuts & Soybeans",Korean,Lunch,Veg,"Korean, Lunch, Veg, Vegan, Beet Salad, Korean Cuisine, Luncheon, Chili-Tofu Dressing, Sweet Potato, Tofu, Nuts, Soybeans",180,4.5,16,39,None
Baeolops bipinnatus Stew (BBB),"A classic Korean stew made with sliced potatoes and tofu, served over rice. This dish is gluten-free and contains no added sugars or starches.",Korean,Lunch,Non-Veg,"Korean, Lunch, Non-Veg, Gluten-Free, Vegetarian/Vegan, Protein-Rich, Low-Carb",125,6,,1,None
Sesame Roasted Chicken,"A simple yet flavorful roasted chicken dish featuring sesame seeds, garlic, and soy sauce for a delicious and nutritious lunch option.",Korean,Lunch,Non-Veg,"Korean, Lunch, Non-Veg",350,24,16,11,None
Shrimp Fried Rice Korean Style,"A delicious shrimp fried rice with spicy mayo, kimchi, and mushrooms for added flavor.",Korean,Lunch,Non-Veg,"Korean, Lunch, Non-Veg, Vegetarian, Gluten-free, Low Calorie, High Protein",500,20,15,40,None
Sukkaki Namguk (Korean Cuisine) Vegetarian Lunch Box,"A delicious vegetarian lunchbox with a variety of veggies and protein sources, including tofu and tempeh. Suitable for those following a vegan diet or healthy eating.",Korean,Lunch,Non-Veg,"Korean, Lunch, Non-Veg, Vegetarian, Korean Cuisine, Suki-namguk, Lunch Box, Protein, Tofu, Tempeh, Vegan, Healthy Eating",208,16,9,35,None
Korean Cuisine Moo Goo Gai Pan,"A flavorful stir-fry featuring mushrooms, vegetables, and a soy sauce-based sauce, perfect for lunch.",Korean,Lunch,Non-Veg,"Korean, Lunch, Non-Veg, Korean cuisine, stir-fry, mushroom, vegetable, sauce, protein-rich, vegan, gluten-free, dairy-free, nut-free, egg-free, common allergen: shellfish",280,15.4,13.3,16.9,None
Mary Go's Veggie Wrap - Classic Kitchen Style,"A vegan lunch option that consists of a fluffy wrap filled with veggies, grilled chicken, and quinoa.",Korean,Lunch,Non-Veg,"Korean, Lunch, Non-Veg, Vegetarian, Whole30, Non-Vegan",258,17,11,29,None
Cuisin's Vege Tofu Bowl,A hearty vegan bowl full of protein and fiber!,Korean,Dinner,Veg,"Korean, Dinner, Veg, Vegan, Protein-Rich, High in Fiber, Gluten Free, Egg-Free",600,12,15,20,None
Kangnam Bokki (Korean Eggplant Soup with Spicy Chili Sauce),"A delicious and nutritious veggie soup, perfect for those with a sweet tooth! This creamy and savory dish is made with sautéed kimchi or Korean cabbage, eggplant, carrots, green onions, and spicy chili sauce. It's also packed full of vitamins and minerals from the leafy greens.",Korean,Dinner,Veg,"Korean, Dinner, Veg, Vegetarian, Gluten-free, Nut-free",350,17.6,2.8,42.7,None
Veggie Spinach Rice Bowl,"A filling and vegan-friendly Korean inspired dinner that combines spinach, brown rice, tofu, carrots, and mushrooms.",Korean,Dinner,Veg,"Korean, Dinner, Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free, Sesame oil, Soy sauce, Eggs, Tofu, Spinach, Brown rice, Mushrooms, Carrots",500,26,13,64,None
Veggie Slaw with Korean Cuisine Inspiration,"A simple yet delicious veggie stir fry dish inspired by Korean cuisine featuring various veggies such as carrots, radishes, snow peas, broccoli, bok choy, and red bell pepper. It's a perfect addition to any dinner party or family gathering!",Korean,Dinner,Veg,"Korean, Dinner, Veg, Veggie Stir Fry, Korean Inspired, Southwest Spice, Green Salad",130,3,4,25,None
Kwon's Classic Vegetable Stew (Mae Nam Geum Sindang),"A classic veg stew with tender and flavorful vegetables, including kale, carrots, radishes, and eggplants. This is a hearty and filling dish that is perfect for chilly nights or busy weeknights.",Korean,Dinner,Veg,"Korean, Dinner, Veg, Vegetarian, Gluten-free, Nut-free, Dairy-free",290,21,,43,"None listed on the dish's label, but it may contain dairy products or nuts and soy."
Sushi Knot Noodles,"A delicious vegan and gluten-free version of sushi, made with noodles that are coated in a savory sauce filled with seasoned vegetables.",Korean,Dinner,Veg,"Korean, Dinner, Veg, Vegan, Gluten-Free, Tofu, Nut-Free, Dairy-Free, Sesame Seeds, Soy Sauce, Eggs, Shellfish",200,15,6,30,None
Spicy Korean Beef with Vegetables,A spicy and hearty beef dish that's perfect for a weeknight meal! This recipe includes:,Korean,Dinner,Non-Veg,"Korean, Dinner, Non-Veg, Non-Vegetarian, Low Carb, Gluten Free",450,35.26,,32.55,None
Chef Special - Steamed Fish Cake with Spicy Mayo Sauce,A popular breakfast dish in Korea made with fresh steamed fish cakes topped with spicy mayo sauce for a savory and delicious start to the day. Calories (kcal): 140,Korean,Dinner,Non-Veg,"Korean, Dinner, Non-Veg",,6,8,,None
Korean Cuisine for Lent,A delicious and filling meal using Korean cuisine as the base.,Korean,Dinner,Non-Veg,"Korean, Dinner, Non-Veg, Low Calorie, Vegetarian, Gluten-Free, Nut-Free",190,9,7,65,None
Spicy Korean Cuisine: Vegetable Fried Rice,"A hearty and flavorful dish featuring fresh vegetables such as carrots, bok choy, snow peas, and scallions, cooked in a light sauce made from rice vinegar, sesame oil, soy sauce, garlic, ginger, and green onions.",Korean,Dinner,Non-Veg,"Korean, Dinner, Non-Veg, Korean cuisine, vegan-friendly, gluten-free",326,8.5,,79.68,None
Baekgang Moojangguk,Spicy beef noodle soup with egg and mushrooms,Korean,Dinner,Non-Veg,"Korean, Dinner, Non-Veg, Vegetarian, Low Calorie, High Protein, Low Carb, Common Allergens (dairy, gluten, nuts, soy, eggs, shellfish)",500,16.9,4.7,32.3,None
Bibimbap,"A stew made with mixed vegetables (carrots, green beans, mushrooms, radish, and more), served with a side of rice.",Korean,Dinner,Non-Veg,"Korean, Dinner, Non-Veg",500,18,,74,None
Pork Bok Choy (Wonton Soup),"A hearty vegetable soup made with pork, bok choy, and wontons in a sweet soy sauce broth.",Korean,Dinner,Non-Veg,"Korean, Dinner, Non-Veg, Vegetarian, Non-Vegetarian, Wonton, Soy Sauce, Bok Choy, Pork, Sweet",215,30,18,20,None
Vegetable and Spinach Omelette,"A healthy breakfast option made with fresh spinach and mushrooms, sautéed veggies, eggs, and a creamy cheese sauce.",Indian,Breakfast,Veg,"Indian, Breakfast, Veg, vegan, gluten-free, low calorie, heart-healthy, nutritious, filling",175,3,9,11.5,"Gluten, Nuts, Soy, Dairy, Eggs, Shellfish"
Vegetarian Curry Breakfast,"A healthy and protein-packed breakfast option made with spinach, tofu, cashew nuts, and lentils. The curry is spiced up with cumin and coriander for some heat, while the toppings provide a good source of fiber, vitamins, and minerals. It can be enjoyed as a light option or paired with rice for a complete meal.",Indian,Breakfast,Veg,"Indian, Breakfast, Veg, Vegetarian, Protein-rich, High fiber, Low calories, Nutritious",327,18,9,5,None
Vegetable Biryani,"A healthy and delicious breakfast option that includes roasted vegetables, spiced rice, and a tangy yogurt sauce.",Indian,Breakfast,Veg,"Indian, Breakfast, Veg",425,13,9.6,40,None
Vegetable Breakfast,A colorful breakfast dish made with a variety of veggies and herbs.,Indian,Breakfast,Veg,"Indian, Breakfast, Veg, Vegan, Gluten-free, Nut-Free, Dairy-Free, Low Calorie, High Carb, Low Protein, High Fiber",400,21,15,37,"Dairy, Nuts, Gluten, Eggs, Shellfish"
Aloo Gobi Paneer,"A delicious breakfast dish made with roasted potatoes (Gobi), eggplant (Paneer), and spiced cauliflower curry, topped with crumbled paneer.",Indian,Breakfast,Veg,"Indian, Breakfast, Veg",280,13,9.5,41,No allergen information available
Baked Avocado Toast with Smoked Salmon and Sweet Potato Hash,"This veggie breakfast dish includes avocados, smoked salmon, and sweet potatoes for a filling and nutritious meal. It's perfect for those who want a protein-packed breakfast option that also contains healthy fats and fiber. The hash is made from sweet potatoes which are high in vitamins and minerals such as B vitamins, Vitamin C, Potassium, Magnesium, Zinc, Copper, Iron, and Manganese. Smoked salmon has health benefits like containing omega-3 fatty acids which can lower the risk of heart disease. The avocado adds healthy fats that are also a good source of vitamins and minerals such as Vitamin K, Vitamin C, Vitamin E, Calcium, Iron, Magnesium, Phosphorus, and Zinc. This dish is also gluten-free, dairy-free, and nut-free, making it a versatile option for any dietary restrictions.",Indian,Breakfast,Veg,"Indian, Breakfast, Veg, Vegan, Gluten-free, Dairy-free, Nut-free, Smoothie Bowls, Avocado, Eggs, Sweet Potatoes, Salmon, Sweet Potato Hash",318,24,8,65,None
Vegetable Curry Breakfast,A filling veggie breakfast option that's easy to prepare and packed with nutrients.,Indian,Breakfast,Veg,"Indian, Breakfast, Veg, Vegan, Whole Grains, Low Calorie, High Protein, Heart-healthy, Fat-free, Low-carb",100,3,5.6,8.7,"Nuts, soy, eggs, shellfish"
Aloo Gobi Layered Breakfast Bowl,"A delicious, savory and nutritious vegetarian breakfast that's perfect for anyone who loves peanut butter. This bowl is made of a layer of roasted aloo (Indian potato), garnished with a layer of creamy cashew chickpea sauce, followed by topped with crunchy roasted peanuts and drizzled with tahini sauce. Total calories = 150kcal",Indian,Breakfast,Non-Veg,"Indian, Breakfast, Non-Veg",55,28,6,,"Nuts, Soy, Wheat"
Vegetable Omelette,"Vegetarian omelette made with fresh spinach, green peas, mushrooms, and onions in a veggie-rich egg batter for a nutritious and filling breakfast.",Indian,Breakfast,Non-Veg,"Indian, Breakfast, Non-Veg",300,9,15,12,"Nut-free, egg-free, and dairy-free"
Nigella Seed Pancakes,"A healthier alternative to traditional pancakes made with ground nigella seeds and almond flour. These pancakes have a delicious nutty flavor, making them the perfect breakfast option for those looking to increase their intake of healthy omega-3 fatty acids.",Indian,Breakfast,Non-Veg,"Indian, Breakfast, Non-Veg",85,10,14,9,None
Butter Chicken Breakfast Bowl,A delicious vegan breakfast option made with butter chicken and cooked quinoa.,Indian,Breakfast,Non-Veg,"Indian, Breakfast, Non-Veg, vegan, breakfast, protein rich, high in fiber",382,15,34,37,None
